"year","sex","age","deaths"
2007,"female",55,1038.19082887247
2007,"female",60,1238.42049692888
2007,"female",65,1566.79715254139
2007,"female",70,1820.08768263274
2007,"female",75,2151.4677832661
2007,"female",80,1986.27830711956
2007,"female",85,3586.68493814733
2008,"female",0,827.908745458135
2008,"female",1,153.191962070728
2008,"female",5,71.490713660864
2008,"female",10,116.145539870617
2008,"female",15,164.205763265355
2008,"female",20,210.263477351979
2008,"female",25,228.286061125006
2008,"female",30,274.34377521163
2008,"female",35,338.424073071281
2008,"female",40,448.562085017556
2008,"female",45,587.736481931485
2008,"female",50,817.023797710548
2008,"female",55,1008.26343663544
2008,"female",60,1333.67119920398
2008,"female",65,1557.95224171276
2008,"female",70,2033.54820238986
2008,"female",75,2147.69123295236
2008,"female",80,2159.22258510219
2008,"female",85,3566.46907775119
2009,"female",0,855.766066614365
2009,"female",1,185.253615206831
2009,"female",5,113.154910910119
2009,"female",10,129.176845198277
2009,"female",15,186.254986099841
2009,"female",20,229.313934499267
2009,"female",25,246.337239680435
2009,"female",30,299.40989700996
2009,"female",35,391.84214584331
2009,"female",40,516.707380793108
2009,"female",45,669.917127423622
2009,"female",50,879.581958883716
2009,"female",55,1096.90678864045
2009,"female",60,1349.84796377734
2009,"female",65,1702.79285666059
2009,"female",70,1960.68420851338
2009,"female",75,2274.59561261679
2009,"female",80,2121.90492228797
2009,"female",85,3797.19842629353
2010,"female",0,819.005340714702
2010,"female",1,177.339310464506
2010,"female",5,79.1514436536496
2010,"female",10,103.197451852227
2010,"female",15,181.346978497602
2010,"female",20,218.719173883471
2010,"female",25,247.473501043689
2010,"female",30,276.529094283637
2010,"female",35,375.327746687149
2010,"female",40,426.816645524743
2010,"female",45,655.253723411226
2010,"female",50,854.635208057761
2010,"female",55,1161.22181258962
2010,"female",60,1417.71256670777
2010,"female",65,1762.37201755405
2010,"female",70,2193.19633111189
2010,"female",75,2447.68325121349
2010,"female",80,2414.12513555254
2010,"female",85,4314.25463762804
2011,"female",0,884.773597071008
2011,"female",1,142.731946386579
2011,"female",5,84.4329823695255
2011,"female",10,104.536073409889
2011,"female",15,214.097919579868
2011,"female",20,220.128846891977
2011,"female",25,218.118537787941
2011,"female",30,274.407192700958
2011,"female",35,342.757702238193
2011,"female",40,458.668995856293
2011,"female",45,679.484477164277
